name,price,description
Laptop Acer Asprise A315,14000000,"i3 Gen10 / RAM 4GB / SSD 256GB / 15.6"" Full HD)"
Laptop Dell 7390,6500000,"i7-8650U / DDDR4 8GB / M2 256GB / 13.3"""
Laptop Dell Latitude 3470,3200000,Core i3-6100 / RAM 8GB / SSD 128GB / LCD 14” Full HD
Laptop HP 240 G8,5500000,"i3 1005G1 / RAM 4GB / SSD NVMe 512GB / LCD 14"" Full HD"
Laptop Lenovo Thinkbook,5000000,i3-1005G1 / RAM 8GB / M2 NVMe 512GB / 14” Full HD
Máy Bộ PC Workstation Dell T3630MT Gen8-9,7500000,i5 9400F | DDR4 16GB | NVMe 512GB | NVIDIA Quadro K2200
Máy Bộ PC Workstation Dell T3630MT Gen8-9,6900000,Xeon E-2124 / DDR4 16GB / NVMe 512GB / Quadro K2200
PC Dell OptiPlex 7000 Miro,11100000,i5 12600 | DDR4 8GB | NVMe 256GB
PC Máy Bộ Dell OptiPlex,7900000,i7 8700 | DDR4 8GB | NVMe 256GB
Màn hình Gaming Samsung 27 Inch Odyssey G5 G50SF,13989000,"LS27FG502SEXXV) ( 27"" | IPS | QHD | 180Hz | 1ms"
Màn hình Gaming Samsung 37 ViewFinity S8 S80UD,13990000,"LS37D800UAEXXV) ( 37"" | VA | QHD | 60Hz | 5ms"
Màn hình Gaming Samsung 37 Inch ViewFinity S7 S70D,11990000,"LS37D702EAEXXV) ( 37"" | VA | QHD | 60Hz | 5ms"
Màn hình Gaming Samsung 27 Inch Odyssey G5 G53F,6500000,"LS27FG530EEXXV) ( 27"" | IPS | QHD | 200Hz | 1ms "
Màn hình Gaming Samsung 27 Inch Odyssey OLED G8,32300000,G81SF 4K 240Hz
LCD Màn Hình Viền Mỏng Samsung S3 S32GF,31080000,"LS27F320GAEXXV) ( 27"" | IPS | FHD | 120Hz | 5ms"
"LCD Màn Hình Cong Samsung Essential S3 S36GD 27""",3990000,"LS27D366GAEXXV)( 27"" | VA | Full HD | 100Hz | 4ms "
Bàn Phím AKKO 3108 Plus Prunus Lannesiana,1600000,Thương hiệu:Akko
Bàn Phím Assassin AK-8000 LED RGB,355000,Thương hiệu:Assassins
Bàn Phím Cơ BJX KM9 Full Size Blue Switch,850000,Thương hiệu:BJX
Bàn Phím Cơ DareU EK810 Black Red Switch Multi LED,750000,Thương hiệu:DareU
Bàn Phím Cơ DareU EK810 Glorious Queen Hồng Led Red Switch,460000,Thương hiệu:DareU
Balo Laptop chống nước,350000,Size 15.6 inch
Balo Laptop Dell Essential 15,450000,Chống nước
Bàn di chuột SteelSeries QcK Large,450000,450x400x2mm
Bàn phím Apple Magic Keyboard,2450000,Không dây / Bluetooth
Bàn phím cơ AKKO 3068B Plus,1450000,Multi-mode / Hotswap
Bàn phím cơ AKKO 3087 v2,1250000,Switch Akko Pink / Blue / Orange
Bàn phím cơ Corsair K63 Wireless,2450000,Cherry MX Red
Bàn phím cơ Corsair K70 RGB,3200000,Cherry MX Blue / RGB LED
Bàn phím cơ DareU EK1280S,850000,Blue/Brown/Red Switch / RGB
Bàn phím cơ DareU EK810,550000,Full size / Multi-LED
Bàn phím cơ Leopold FC750R,3100000,TKL / Cherry MX Switch
Bàn phím cơ Newmen GM328,650000,Blue Switch / Full size
Bàn phím DareU EK87,590000,TKL / Mechanical Keyboard / Multi-LED
Bàn phím giả cơ i-Rocks K62E,450000,LED 7 màu
Bàn phím giả cơ Motospeed K70,250000,Chống nước
Bàn phím Logitech G213 Prodigy,950000,Giả cơ / RGB
Bàn phím Logitech K120,180000,Chống nước / Cổng USB
Bàn phím Logitech K120 USB,175000,Bàn phím văn phòng
Bàn phím Mistel X-VIII,2800000,Full size / Cherry MX Switch
Bàn phím Newmen E340,180000,Bàn phím văn phòng chịu nước
Bàn phím Razer BlackWidow V3,2850000,Green Switch / RGB
Bàn phím văn phòng Dell KB216,220000,Thiết kế chống ồn
Bộ chia HDMI 1 ra 2,220000,Hỗ trợ 4K
Bộ chuyển đổi HDMI sang VGA,120000,Có nguồn phụ
Bộ kích sóng Wifi Mercury,180000,3 Ăng-ten
Bộ vệ sinh Laptop 6 món,50000,"Chổi, khăn, dung dịch vệ sinh"
Box SSD M.2 NVMe Asus ROG Strix Arion,1250000,USB 3.2 Gen 2 / RGB
Caddy Bay 9.5mm,80000,Lắp SSD cho Laptop
Cáp DisplayPort 1.4,250000,Hỗ trợ 4K/144Hz
Cáp HDMI 2.1 Ugreen 2m,220000,Hỗ trợ 8K/60Hz
Cáp sạc iPhone Ugreen,180000,MFi / Lightning
Cáp sạc Type-C to Lightning 20W,150000,Sạc nhanh
Card đồ họa Nvidia Quadro T1000,4500000,4GB GDDR6 / 4 Mini DP
Card mạng không dây Asus PCE-AX3000,850000,Wi-Fi 6 / Bluetooth 5.0
Card Sound Creative Blaster Z,2450000,PCIe / 5.1 Channel
Card Sound USB Creative Play! 4,750000,Hi-Res Audio / USB-C
Card Wifi Asus PCE-AC51,550000,AC750
Card Wifi Intel AX210,450000,Wi-Fi 6E / Bluetooth 5.3
Card Wifi TP-Link Archer T2U Plus,320000,USB / AC600
Card Wifi TP-Link Archer T4E,650000,Chuẩn AC1200 / Băng tần kép
Case cỏ VSP,250000,Văn phòng
Case Corsair 4000D Airflow,2250000,Mid Tower / Trắng
Case Corsair iCUE 4000X,3450000,RGB / Kính cường lực
Case Deepcool CC560,1150000,Kèm 4 Fan LED Blue
Case Deepcool Matrexx 40,850000,Mini Tower / 1 Fan
Case Galax Revolution 05,750000,Mid Tower / 4 Fan RGB
Case Mik LV07,1850000,Bể cá / Màu hồng
Case Mik LV12 M,1250000,Kính cường lực / Thiết kế bể cá
Case VSP Esport Gaming KA290,650000,Mặt lưới thoáng khí
Case VSP Tech KA210,550000,Mid Tower / Kính cường lực
Case Xigmatek Aero,550000,Mini Tower
Case Xigmatek Gaming X,850000,Kèm 4 Fan RGB
Case Xigmatek NYX 3F,650000,Kèm 3 Fan LED RGB
Chuột chuyên game DareU EM908,390000,RGB / 6000 DPI
Chuột Corsair Harpoon RGB Pro,480000,12000 DPI
Chuột DareU EM901X,650000,Không dây / RGB / Dock sạc
Chuột Fuhlen G90,350000,Magnet-Driven Micro Switch
Chuột Fuhlen L102,120000,Optical / 1000 DPI
Chuột không dây DareU LM115G,180000,Wireless 2.4GHz / 1600 DPI
Chuột không dây Rapoo M20,150000,Wireless 2.4GHz
Chuột Logitech G102 Gen2 Lightsync,450000,RGB / 8000 DPI
Chuột Logitech G304 Wireless,790000,Lightspeed / 12000 DPI
Chuột Logitech G502 Hero,1050000,25600 DPI
Chuột Logitech M331,320000,Silent / Không dây
Chuột Logitech MX Master 3S,2450000,Silent / 8000 DPI / Bluetooth
Chuột MSI Clutch GM11,450000,RGB Gaming
Chuột Newmen M266,120000,Optical USB
Chuột Rapoo 1620,120000,Không dây
Chuột Razer Basilisk V3,1450000,26000 DPI / RGB
Chuột Razer DeathAdder Essential,550000,6400 DPI / Trắng
Chuột SteelSeries Prime,950000,Optical Magnetic Switches
Chuột SteelSeries Rival 3,850000,RGB / 8500 CPI
CPU AMD Ryzen 5 4600G,2450000,Có tích hợp Radeon Graphics
CPU AMD Ryzen 5 5600X,3900000,3.7GHz up to 4.6GHz / 6 Cores 12 Threads / 35MB Cache
CPU AMD Ryzen 7 5800X,5800000,3.8GHz up to 4.7GHz
CPU AMD Ryzen 9 7900X,10800000,4.7GHz up to 5.4GHz / 12 Cores 24 Threads
CPU Core i5-11400,3850000,2.6GHz up to 4.4GHz
CPU Intel Core i3-12100,2850000,3.3GHz up to 4.3GHz
